customer_id,monthly_charges,prev_monthly_charges,tickets_7d,tickets_30d,tickets_90d,avg_sentiment,category_billing,category_technical,category_general,days_since_last_ticket,contract_type,tenure_months,churn
CUST_0091,114.14999999999999,116.45,1,2,13,-0.185,4,3,1,19,One year,43,0
CUST_0092,120.1,40.38,1,6,9,-0.806,2,4,4,20,Two year,27,1
CUST_0093,95.1625,72.33,0,2,5,0.895,0,3,2,50,Two year,4,1
CUST_0094,121.375,48.71,1,3,14,-0.168,2,5,0,29,One year,36,1
CUST_0095,86.725,99.29,2,5,11,-0.315,2,3,0,47,Two year,52,0
CUST_0096,90.33749999999999,77.76,2,3,7,-0.107,0,5,1,0,Month-to-month,45,1
CUST_0097,78.4375,83.46,2,6,14,-0.567,1,3,1,34,One year,51,1
CUST_0098,28.174999999999997,99.79,0,5,11,-0.8,2,2,2,25,Month-to-month,32,1
CUST_0099,38.4875,59.6,0,4,3,-0.703,1,1,2,8,One year,2,1
CUST_0100,28.925,111.51,1,6,16,-0.667,1,1,0,39,Two year,17,1
CUST_0101,104.55,73.3,1,9,6,-0.605,4,0,2,20,One year,23,1
CUST_0102,64.3,35.8,0,6,4,-0.16,2,3,0,79,Two year,44,0
CUST_0103,88.575,89.59,1,6,7,0.248,3,2,0,11,Two year,46,0
CUST_0104,138.45000000000002,99.33,1,5,13,0.258,2,2,0,36,Month-to-month,12,1
CUST_0105,56.1625,51.68,1,5,7,-1.0,1,1,1,70,One year,54,1
CUST_0106,76.3,105.72,0,4,9,0.842,1,4,2,23,One year,13,0
CUST_0107,119.45,110.61,0,4,8,0.646,5,4,0,49,Two year,68,0
CUST_0108,53.6,47.69,1,5,11,0.928,1,6,0,53,Month-to-month,71,1
CUST_0109,34.625,118.35,0,5,5,-0.28,1,1,1,83,Month-to-month,66,1
CUST_0110,61.224999999999994,34.07,2,4,7,0.33,2,3,0,27,Two year,15,1
CUST_0111,45.15,40.2,1,5,6,-0.664,0,0,0,3,Month-to-month,62,1
CUST_0112,141.2125,38.42,0,5,9,0.634,1,1,0,11,Month-to-month,24,0
CUST_0113,126.0125,109.4,0,5,8,-0.677,1,8,0,66,Two year,70,1
CUST_0114,104.17500000000001,85.43,3,6,5,-0.348,2,3,0,36,Month-to-month,61,1
CUST_0115,133.9375,35.21,1,5,7,-0.018,4,2,0,3,Two year,71,1
CUST_0116,125.4625,64.03,1,10,6,0.189,1,2,1,14,Month-to-month,3,1
CUST_0117,48.324999999999996,81.53,0,5,11,0.119,2,2,2,27,Two year,29,0
CUST_0118,136.57500000000002,28.35,2,4,12,-0.796,0,3,0,36,One year,21,1
CUST_0119,92.41250000000001,108.24,1,6,10,-0.157,1,4,0,8,Month-to-month,54,1
CUST_0120,125.925,100.36,0,2,7,0.846,2,1,2,13,Month-to-month,6,1
CUST_0121,137.0125,70.52,0,6,12,0.745,3,5,0,66,Month-to-month,11,1
CUST_0122,64.75,116.71,2,4,10,0.182,1,5,1,81,Month-to-month,70,1
CUST_0123,38.7625,61.78,1,3,7,0.145,1,4,2,49,Month-to-month,27,0
CUST_0124,53.4875,118.41,1,4,11,-0.777,0,1,1,77,Two year,60,1
CUST_0125,78.3875,86.79,2,3,10,-0.599,1,6,1,24,Month-to-month,27,1
CUST_0126,127.25,83.47,0,3,4,-0.495,3,1,0,38,Two year,32,0
CUST_0127,132.58749999999998,36.6,2,6,6,-0.024,2,5,1,25,One year,33,1
CUST_0128,25.875,108.19,0,5,12,0.463,2,3,2,59,One year,5,0
CUST_0129,88.83749999999999,62.75,0,4,8,-0.079,5,3,0,51,Two year,9,0
CUST_0130,77.175,36.22,1,5,14,-0.748,2,6,1,69,One year,13,1
CUST_0131,52.7625,21.26,2,5,6,-0.121,1,0,1,25,Two year,6,1
CUST_0132,39.9875,75.98,0,5,13,-0.675,0,1,2,47,Month-to-month,36,1
CUST_0133,67.2,72.74,1,7,7,0.502,0,4,0,53,Two year,50,1
CUST_0134,142.8625,91.94,1,6,15,-0.667,1,5,3,40,One year,61,1
CUST_0135,65.4,109.03,1,3,12,-0.035,4,10,2,0,Two year,48,0
CUST_0136,89.85,27.94,1,4,15,0.387,3,3,1,20,One year,11,1
CUST_0137,112.875,93.15,0,5,2,-0.544,3,4,2,77,Two year,17,1
CUST_0138,70.45,38.74,4,5,10,-0.848,2,6,1,71,One year,2,1
CUST_0139,146.47500000000002,105.82,1,7,3,0.127,1,2,2,24,Month-to-month,7,1
CUST_0140,145.29999999999998,101.91,1,4,6,-0.892,1,3,1,17,Two year,57,1
CUST_0141,56.475,74.08,0,5,7,0.176,1,7,1,14,Month-to-month,31,1
CUST_0142,87.15,91.02,0,6,9,0.507,1,3,0,41,Month-to-month,59,1
CUST_0143,62.612500000000004,51.44,1,4,5,-0.341,3,5,2,19,Month-to-month,46,1
CUST_0144,60.599999999999994,67.12,1,4,10,-0.023,3,4,0,15,One year,7,0
CUST_0145,29.6125,102.16,0,3,10,0.858,3,5,3,6,One year,14,0
CUST_0146,101.19999999999999,65.93,1,5,7,-0.058,3,3,2,80,Month-to-month,9,1
CUST_0147,87.83749999999999,55.78,2,6,10,0.993,1,3,1,4,Two year,9,0
CUST_0148,31.4375,69.42,2,8,10,-0.686,3,6,2,17,One year,2,0
CUST_0149,59.825,102.82,2,4,7,0.418,3,1,2,77,One year,16,0
CUST_0150,138.5375,53.52,0,7,11,0.305,1,3,2,17,Month-to-month,2,1
CUST_0151,54.95,37.38,0,6,10,0.745,2,1,2,63,One year,70,0
CUST_0152,43.112500000000004,91.2,0,9,4,-0.815,3,2,1,24,Two year,23,1
CUST_0153,86.1875,102.6,1,6,12,-0.44,0,4,4,74,One year,28,0
CUST_0154,148.21249999999998,30.06,0,5,7,-0.736,1,2,1,25,One year,43,1
CUST_0155,55.2625,43.99,3,4,6,0.866,2,3,2,68,Two year,63,0
CUST_0156,109.01249999999999,34.2,0,7,5,-0.147,2,2,0,15,Two year,17,1
CUST_0157,120.19999999999999,54.79,1,8,10,0.82,1,2,1,62,One year,36,1
CUST_0158,54.699999999999996,65.04,2,4,9,-0.411,4,4,0,71,Two year,19,0
CUST_0159,116.02499999999999,94.88,1,4,8,-0.747,0,1,0,76,One year,5,1
CUST_0160,70.975,85.11,2,4,11,-0.407,1,2,1,57,Two year,23,0
CUST_0161,104.03750000000001,82.09,1,3,13,0.194,2,2,1,26,Month-to-month,19,1
CUST_0162,104.1875,55.24,1,6,9,0.69,1,2,1,48,One year,1,1
CUST_0163,91.975,104.14,2,7,5,-0.229,0,1,0,89,Month-to-month,27,1
CUST_0164,36.2875,67.13,3,7,10,0.83,3,2,1,72,One year,43,0
CUST_0165,129.4125,117.91,1,7,7,-0.512,0,5,0,46,Two year,25,1
CUST_0166,65.1,83.41,1,5,9,0.387,3,4,1,70,Month-to-month,54,1
CUST_0167,48.3125,32.63,0,7,5,0.471,1,4,0,49,One year,6,0
CUST_0168,30.099999999999998,87.62,1,5,8,-0.452,0,3,0,45,Two year,25,0
CUST_0169,98.86250000000001,52.51,1,2,5,-0.946,1,3,0,7,Two year,46,1
CUST_0170,109.7,88.63,2,4,7,-0.27,1,0,0,1,Month-to-month,59,1
CUST_0171,27.075,26.96,0,4,6,-0.91,0,2,1,17,One year,55,1
CUST_0172,89.01249999999999,37.49,1,5,11,0.802,3,1,0,35,Month-to-month,24,1
CUST_0173,53.3125,105.57,3,5,8,0.907,2,1,2,87,One year,24,0
CUST_0174,105.64999999999999,42.72,2,6,9,0.471,2,5,1,41,Two year,3,1
CUST_0175,46.8,103.7,2,6,11,0.453,3,3,1,10,Two year,40,0
CUST_0176,111.36250000000001,47.93,2,5,13,-0.518,2,1,1,58,Two year,20,1
CUST_0177,73.3375,84.29,1,4,14,-0.852,2,4,1,51,One year,69,1
CUST_0178,142.0875,89.42,1,4,11,0.604,1,5,1,73,One year,70,1
CUST_0179,42.1875,71.27,0,6,12,0.118,4,2,1,48,Two year,66,0
CUST_0180,67.6375,50.53,0,5,5,0.363,2,1,3,55,One year,69,0
CUST_0181,39.1875,41.26,2,2,9,0.559,2,4,2,69,One year,8,0
CUST_0182,140.5875,23.32,0,6,8,-0.181,2,5,1,73,Two year,55,1
CUST_0183,134.6625,50.39,1,5,4,-0.711,4,5,0,29,Two year,37,1
CUST_0184,57.2375,85.32,1,4,7,0.59,3,2,0,54,One year,14,0
CUST_0185,107.5,113.83,0,3,5,-0.092,2,5,1,27,One year,48,0
CUST_0186,127.15,107.12,0,5,15,0.654,2,4,0,50,Month-to-month,67,1
CUST_0187,94.39999999999999,96.61,1,5,8,-0.125,1,4,3,88,One year,32,0
CUST_0188,91.2125,98.84,1,4,8,-0.566,4,3,1,26,Month-to-month,36,1
CUST_0189,55.2375,86.5,1,3,10,-0.658,3,0,1,51,One year,5,1
CUST_0190,36.637499999999996,46.03,1,5,7,0.488,0,5,1,33,Month-to-month,18,1
CUST_0191,137.15,110.72,1,7,9,0.15,2,2,2,31,Month-to-month,11,1
CUST_0192,137.55,87.07,0,6,10,-0.191,0,5,0,43,Two year,4,1
CUST_0193,104.1375,76.04,1,5,11,-0.016,3,5,1,3,One year,20,0
CUST_0194,67.375,31.1,3,6,3,0.099,4,2,1,47,Two year,5,1
CUST_0195,68.65,64.71,0,8,10,-0.521,4,5,2,15,Two year,63,1
CUST_0196,115.75,66.04,0,6,9,-0.244,1,5,1,59,One year,54,1
CUST_0197,137.1375,106.46,0,4,8,-0.415,2,2,0,46,Two year,65,0
CUST_0198,135.8875,74.66,1,4,4,-0.223,4,6,1,74,Two year,13,1
CUST_0199,122.4875,58.04,0,4,8,0.001,7,2,0,14,Two year,3,1
CUST_0200,105.25,117.68,2,4,8,-0.653,1,3,2,55,Two year,2,1
CUST_0201,35.5125,31.07,0,4,4,-0.213,1,3,0,15,Month-to-month,12,1
CUST_0202,45.199999999999996,62.25,0,4,8,-0.229,1,6,0,0,One year,56,0
CUST_0203,137.325,24.2,0,4,5,-0.428,4,6,0,24,One year,58,1
CUST_0204,100.8,93.99,0,3,5,0.997,2,2,0,63,Two year,52,0
CUST_0205,26.150000000000002,111.81,1,4,8,-0.853,1,1,1,42,One year,15,1
CUST_0206,37.6875,48.0,0,3,10,0.286,2,4,2,13,Month-to-month,1,1
CUST_0207,107.9375,105.83,3,6,5,-0.651,2,3,0,47,Two year,71,1
CUST_0208,25.637500000000003,49.22,1,3,9,0.679,0,2,2,67,Two year,45,0
CUST_0209,45.099999999999994,111.08,0,6,6,0.828,2,4,0,13,Two year,16,0
CUST_0210,93.5875,95.4,0,4,8,-0.197,1,1,0,79,Month-to-month,17,1
CUST_0211,111.4875,100.49,2,3,12,0.647,3,3,1,14,One year,30,0
CUST_0212,106.5,21.8,1,6,10,-0.5,0,2,2,76,Month-to-month,37,1
CUST_0213,53.0375,116.28,0,6,4,-0.72,3,2,1,16,One year,18,1
CUST_0214,114.025,92.67,0,6,10,-0.368,1,5,2,51,Month-to-month,11,1
CUST_0215,54.65,50.48,0,4,12,-0.317,1,2,0,9,Month-to-month,60,1
CUST_0216,65.675,102.94,0,4,6,-0.205,1,1,1,16,Two year,59,0
CUST_0217,118.3125,48.15,3,4,8,-0.254,3,3,1,7,Two year,70,1
CUST_0218,106.19999999999999,107.28,1,4,4,-0.178,3,0,0,1,Two year,26,0
CUST_0219,131.15,31.26,0,4,10,0.42,0,3,1,55,Month-to-month,38,1
CUST_0220,107.2,90.37,0,7,8,-0.509,0,3,1,64,Month-to-month,9,1
CUST_0221,96.0375,74.07,2,3,12,-0.963,1,1,0,54,One year,46,1
CUST_0222,36.7125,29.65,2,3,9,-0.021,0,1,0,68,Month-to-month,44,1
CUST_0223,70.9625,44.19,0,7,4,-0.103,1,3,1,85,One year,42,0
CUST_0224,58.150000000000006,21.24,0,5,7,-0.88,2,6,3,79,Two year,69,1
CUST_0225,55.5,66.88,2,4,6,-0.732,0,3,1,72,Two year,23,1
CUST_0226,146.625,50.13,2,6,10,0.02,1,4,0,35,Month-to-month,34,1
CUST_0227,74.1375,79.84,1,4,10,-0.53,1,4,2,8,One year,22,1
CUST_0228,136.5,49.72,1,5,13,0.755,3,2,1,13,One year,69,1
CUST_0229,103.8875,49.99,1,5,11,-0.653,2,2,0,73,Two year,65,1
CUST_0230,124.35000000000001,94.32,1,6,16,-0.96,4,2,0,21,Month-to-month,26,0
CUST_0231,87.825,24.81,3,6,6,-0.105,2,1,0,15,One year,55,1
CUST_0232,97.1125,110.29,0,4,9,0.972,0,3,0,40,One year,15,0
CUST_0233,86.5625,105.23,1,4,16,0.268,5,2,4,66,One year,66,0
CUST_0234,49.400000000000006,86.78,1,3,9,-0.292,3,3,1,27,Two year,53,0
CUST_0235,115.3125,79.32,1,8,7,-0.966,0,1,1,28,Month-to-month,11,1
CUST_0236,60.099999999999994,109.23,1,6,3,-0.03,3,3,1,64,One year,58,0
CUST_0237,28.0375,38.53,1,5,3,-0.587,1,5,0,27,Month-to-month,42,1
CUST_0238,105.6875,27.9,0,4,6,0.296,2,2,2,85,One year,69,1
CUST_0239,47.1375,43.95,0,4,4,0.166,2,1,0,31,Two year,33,0
CUST_0240,142.5625,99.46,4,4,15,-0.47,1,1,1,51,Month-to-month,44,1
CUST_0241,144.2375,23.47,0,7,11,-0.862,1,6,1,10,One year,7,1
CUST_0242,139.36249999999998,78.28,1,3,9,0.51,2,7,2,25,Two year,52,1
CUST_0243,71.275,119.54,1,5,5,0.171,1,0,1,30,Two year,13,0
CUST_0244,26.9375,105.57,1,3,13,0.684,1,0,1,19,Two year,32,0
CUST_0245,141.0375,72.14,0,3,8,-0.48,2,1,2,83,One year,39,1
CUST_0246,78.525,26.36,1,9,4,0.306,0,1,2,68,Two year,63,0
CUST_0247,145.8375,103.14,1,8,10,-0.763,1,3,1,40,Two year,20,1
CUST_0248,145.45,79.9,1,3,11,-0.416,0,4,2,66,Two year,16,1
CUST_0249,131.625,31.49,0,7,6,0.313,2,3,1,43,Two year,30,1
CUST_0250,61.8,29.39,2,5,11,0.651,3,3,0,59,Two year,19,1
CUST_0251,73.1375,110.96,2,4,7,-0.358,4,2,0,6,One year,30,0
CUST_0252,131.3875,86.92,2,5,4,0.598,1,5,0,53,Month-to-month,34,0
CUST_0253,64.6125,102.93,0,5,5,0.356,2,3,2,62,One year,39,0
CUST_0254,46.1875,107.9,0,6,6,-0.303,0,5,1,81,One year,49,0
CUST_0255,94.60000000000001,77.18,1,8,6,0.753,1,2,1,79,One year,5,1
CUST_0256,142.025,71.74,1,5,9,0.018,3,2,0,12,Month-to-month,43,1
CUST_0257,112.0,63.04,0,5,8,0.296,0,1,1,32,Month-to-month,47,1
CUST_0258,96.2625,51.69,1,7,7,-0.009,1,4,0,6,Two year,59,1
CUST_0259,37.15,63.46,1,2,8,-0.095,3,4,0,29,Month-to-month,69,1
CUST_0260,101.875,97.39,2,7,10,0.696,0,2,2,10,One year,17,0
CUST_0261,148.76250000000002,80.19,1,4,9,-0.411,0,2,0,69,Two year,19,1
CUST_0262,42.512499999999996,109.25,1,3,7,-0.927,0,5,0,20,Month-to-month,46,1
CUST_0263,89.7875,64.34,1,6,9,0.76,2,3,0,31,One year,56,0
CUST_0264,134.67499999999998,80.71,1,6,16,0.65,2,2,8,4,Two year,26,1
CUST_0265,117.6,83.13,0,7,5,-0.267,3,4,0,34,Two year,66,0
CUST_0266,112.125,79.17,3,4,7,-0.629,3,4,1,46,Two year,14,1
CUST_0267,112.8125,90.26,1,4,12,0.351,1,0,2,11,One year,52,0
CUST_0268,69.9375,43.74,3,6,8,-0.842,1,7,0,36,Two year,4,1
CUST_0269,61.7,71.24,0,6,8,-0.152,1,5,0,43,One year,3,0
CUST_0270,126.175,30.42,0,5,8,-0.828,2,2,2,21,Month-to-month,22,1
CUST_0271,126.2625,58.45,0,3,15,0.196,0,2,1,10,Two year,50,1
CUST_0272,133.3875,68.77,0,3,7,-0.946,2,3,1,86,Month-to-month,64,1
CUST_0273,139.14999999999998,85.22,1,3,7,0.258,3,5,2,54,Two year,10,1
CUST_0274,88.9125,115.05,1,3,7,0.346,1,2,5,9,Two year,56,0
CUST_0275,87.6875,80.07,0,6,6,-0.026,7,2,1,41,Two year,16,0
CUST_0276,124.7875,94.36,0,5,7,-0.65,2,2,0,87,One year,37,1
CUST_0277,106.25,70.63,0,6,8,-0.797,2,4,1,79,Month-to-month,55,1
CUST_0278,112.75,83.41,1,5,13,-0.373,5,7,1,75,Two year,22,0
CUST_0279,124.475,27.09,0,5,10,-0.07,1,3,1,54,Two year,32,1
CUST_0280,136.25,45.44,1,5,9,0.284,2,4,5,49,One year,44,1
CUST_0281,67.25,56.19,0,2,10,-0.997,1,6,1,31,Two year,52,1
CUST_0282,71.95,67.25,2,8,7,0.422,0,2,1,87,One year,33,1
CUST_0283,36.75,24.56,1,6,5,0.425,1,4,2,67,Two year,2,0
CUST_0284,97.2875,34.0,0,3,11,-0.111,1,0,0,17,Month-to-month,14,1
CUST_0285,29.4875,47.68,2,8,11,-0.313,2,2,2,80,One year,61,1
CUST_0286,83.2,117.15,4,3,12,0.685,3,3,3,84,One year,65,0
CUST_0287,92.825,53.13,0,5,7,0.569,1,3,0,64,Two year,30,1
CUST_0288,60.8125,68.2,1,8,7,0.967,0,6,1,24,Month-to-month,27,1
CUST_0289,98.85,39.61,0,5,10,-0.256,1,3,4,30,Two year,64,1
CUST_0290,28.8125,81.08,1,3,5,0.814,2,5,0,83,One year,33,0
CUST_0291,29.6625,48.07,0,6,12,-0.825,1,3,0,89,Two year,53,1
CUST_0292,127.825,40.7,0,3,10,-0.177,4,3,2,18,Month-to-month,10,1
CUST_0293,70.025,71.66,2,6,15,-0.069,3,2,0,88,One year,27,0
CUST_0294,40.8875,20.55,0,7,8,-0.118,1,2,0,17,Month-to-month,37,1
CUST_0295,90.275,20.77,2,3,14,0.25,4,2,2,67,Month-to-month,2,1
CUST_0296,121.25,41.91,1,4,16,-0.66,3,2,0,32,One year,43,1
CUST_0297,51.974999999999994,23.67,3,7,5,0.733,4,6,1,69,Month-to-month,19,1
CUST_0298,102.86250000000001,30.8,4,11,12,0.104,2,3,0,6,Two year,11,1
CUST_0299,35.6625,53.89,0,7,11,0.808,2,0,0,0,One year,52,0
CUST_0300,31.462500000000002,100.26,2,6,9,-0.995,2,3,1,86,Month-to-month,32,1
CUST_0301,91.425,77.2,0,6,3,0.26,1,5,2,79,Month-to-month,29,1
CUST_0302,92.575,71.27,1,6,15,-0.175,3,4,0,58,Two year,36,0
CUST_0303,104.675,49.35,1,5,3,0.01,4,3,2,33,Two year,47,1
CUST_0304,115.7625,113.18,1,4,6,0.488,1,0,1,51,Two year,43,0
CUST_0305,146.9875,59.7,1,4,5,-0.546,3,3,2,10,Two year,52,1
CUST_0306,89.5375,28.71,0,9,14,-0.59,3,4,4,7,Month-to-month,53,1
CUST_0307,65.375,81.71,2,6,9,0.406,2,4,0,87,Month-to-month,68,1
CUST_0308,124.39999999999999,31.38,3,5,17,0.043,1,4,0,86,Month-to-month,5,1
CUST_0309,58.849999999999994,54.52,1,3,8,-0.533,0,5,0,52,One year,48,1
CUST_0310,79.875,70.74,0,3,4,-0.032,0,3,1,14,Month-to-month,24,1
CUST_0311,34.8125,107.42,0,4,13,-0.081,1,4,1,27,One year,1,0
CUST_0312,28.174999999999997,69.35,1,4,13,0.383,0,2,0,83,Month-to-month,2,1
CUST_0313,145.32500000000002,90.23,0,6,9,-0.995,5,3,2,13,Two year,10,1
CUST_0314,129.5,119.28,0,5,6,0.174,0,1,1,89,Month-to-month,63,1
CUST_0315,112.0,33.15,2,6,6,0.211,2,3,1,57,One year,59,1
CUST_0316,76.125,47.47,3,8,8,0.491,2,1,2,56,Two year,6,1
CUST_0317,46.662499999999994,59.46,3,4,5,0.778,1,3,2,51,Month-to-month,48,1
